id,longitude,latitude,seg_bits,scale_id,scale,cap_spring,cap_summer,cap_autumn,cap_winter,build_cost_usd,op_cost_usd_for_4seasons,is_active_solve
1034,113.42971669956614,23.387890400321798,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1035,113.4343507001248,23.38980169978868,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1036,113.43417050026846,23.39011870001804,000,0,NONE,0,0,0,0,0,0.0,1
1037,113.43812790038236,23.391419199736333,000,0,NONE,0,0,0,0,0,0.0,1
1038,113.43806030014277,23.391629900099872,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1039,113.45013249981504,23.404017500107614,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1040,113.44978130016692,23.40415769991796,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1041,113.46134549979502,23.416138600416105,000,0,NONE,0,0,0,0,0,0.0,1
1042,113.48903349959642,23.413922400198658,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1043,113.49185669992688,23.41589669987286,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1044,113.4640264003981,23.418047899790796,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1045,113.46373589959217,23.41826969958703,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1046,113.46452790014256,23.41845000016741,000,0,NONE,0,0,0,0,0,0.0,1
1047,113.4614900001634,23.41604690014435,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1048,113.25446250024424,23.399809799782474,000,0,NONE,0,0,0,0,0,0.0,1
1049,113.18507200007276,23.4285047003317,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1050,113.2563537996882,23.412338499821946,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1051,113.303045200076,23.408358200270754,000,0,NONE,0,0,0,0,0,0.0,1
1052,113.30302229973938,23.40945049974084,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1053,113.30289969966144,23.40947960000358,000,0,NONE,0,0,0,0,0,0.0,0
1054,113.3061351995799,23.42102560005145,000,0,NONE,0,0,0,0,0,0.0,1
1055,113.3063638998741,23.421843199803902,000,0,NONE,0,0,0,0,0,0.0,1
1056,113.30666950029728,23.42176319971196,000,0,NONE,0,0,0,0,0,0.0,0
1057,113.30915759974346,23.43294339961824,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1058,113.30903189970252,23.43297330027764,000,0,NONE,0,0,0,0,0,0.0,0
1059,113.30873200008182,23.433048599613244,000,0,NONE,0,0,0,0,0,0.0,0
1060,113.30861269961645,23.4330817998852,000,0,NONE,0,0,0,0,0,0.0,0
1061,113.33455180042527,23.411804500377457,000,0,NONE,0,0,0,0,0,0.0,1
1062,113.33438160013075,23.411861899607004,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1063,113.30645059991537,23.420954899848823,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1064,113.37374010032543,23.45555080002947,000,0,NONE,0,0,0,0,0,0.0,1
1065,113.30921690013986,23.43370880002118,000,0,NONE,0,0,0,0,0,0.0,1
1066,113.30893870026092,23.43378529995169,000,0,NONE,0,0,0,0,0,0.0,0
1067,113.2698188000976,23.436738400157083,000,0,NONE,0,0,0,0,0,0.0,1
1068,113.26980290008385,23.437107300261744,000,0,NONE,0,0,0,0,0,0.0,1
1069,113.30956900000945,23.43533779959984,000,0,NONE,0,0,0,0,0,0.0,1
1070,113.30924360011215,23.435350200351536,000,0,NONE,0,0,0,0,0,0.0,1
1071,113.30959789972336,23.438261800441808,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1072,113.30998670002624,23.438417800441187,000,0,NONE,0,0,0,0,0,0.0,1
1073,113.1883321000464,23.429182200098523,000,0,NONE,0,0,0,0,0,0.0,1
1074,113.18279560013684,23.43617459987792,000,0,NONE,0,0,0,0,0,0.0,1
1075,113.1202700999852,23.37285879979385,000,0,NONE,0,0,0,0,0,0.0,1
1076,113.12120569978332,23.373024999903866,000,0,NONE,0,0,0,0,0,0.0,1
