id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
3907,-88.5831852273,43.9449420612,000,0,NONE,0,0,0,0,0,0,0.0,1
3908,-92.3578437355,43.9510210942,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3909,-71.6834667156,43.9525690784,000,0,NONE,0,0,0,0,0,0,0.0,0
3910,-90.5082807405,43.9556740876,000,0,NONE,0,0,0,0,0,0,0.0,1
3911,-91.8817493712,43.9328122438,000,0,NONE,0,0,0,0,0,0,0.0,1
3912,-86.385263716,43.9563400859,000,0,NONE,0,0,0,0,0,0,0.0,0
3913,-89.4975493861,43.9777680093,000,0,NONE,0,0,0,0,0,0,0.0,1
3914,-90.4404567199,43.9832051116,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3915,-70.3099560919,43.9874966405,000,0,NONE,0,0,0,0,0,0,0.0,0
3916,-73.7160648371,44.0055111519,000,0,NONE,0,0,0,0,0,0,0.0,0
3917,-92.4820887157,44.0069470868,000,0,NONE,0,0,0,0,0,0,0.0,1
3918,-90.4927917349,44.0153260901,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3919,-92.4878487214,44.0307431005,000,0,NONE,0,0,0,0,0,0,0.0,1
3920,-75.9146394657,44.0356303016,000,0,NONE,0,0,0,0,0,0,0.0,0
3921,-116.97550902,44.0476884017,000,0,NONE,0,0,0,0,0,0,0.0,1
3922,-94.3996557198,44.0545480723,000,0,NONE,0,0,0,0,0,0,0.0,1
3923,-112.235936715,44.0577880725,000,0,NONE,0,0,0,0,0,0,0.0,1
3924,-123.04934671,44.0619730955,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3925,-123.101204714,44.0531620777,000,0,NONE,0,0,0,0,0,0,0.0,0
3926,-102.381723535,44.0671476066,000,0,NONE,0,0,0,0,0,0,0.0,1
